[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  20242       tick         79984        462795        462795        323509 
      2  20242       tick             0             0             0             0 
      3  20242       tick             0             0             0             0 
      4  20242       tick             0             0             0             0 
      5  20242       tick             0             0             0             0 
      6  20242       tick             0             0             0             0 
      7  20242       tick             0             0             0             0 
      8  20242       tick             0             0             0             0 
      9  20242       tick             0             0             0             0 
     10  20242       tick             0             0             0             0 
     11  20242       tick             0             0             0             0 
     12  20242       tick             0             0             0             0 
     13  20242       tick             0             0             0             0 
     14  20242       tick             0             0             0             0 
     15  20242       tick             0             0             0             0 
     16  20242       tick             0             0             0             0 
     17  20242       tick             0             0             0             0 
     18  20242       tick             0             0             0             0 
     19  20242       tick             0             0             0             0 
     20  20242       exit           412          2095          2095          1353 
