UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3454000,687000,5010000,40894
,800000,800000,800000,800000,40407,0,0,0,3454000,687000,5019000,40407
,800000,800000,800000,800000,41868,0,0,0,3454000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3446000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3446000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5019000,41381
,800000,800000,800000,800000,40407,0,0,0,3454000,687000,5019000,40407
,800000,800000,800000,800000,40894,0,0,0,3454000,687000,5019000,40894
,800000,800000,800000,800000,40407,0,0,0,3454000,688000,5019000,40407
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5010000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,688000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3450000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3450000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3458000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3458000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3458000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3469000,690000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3469000,690000,5019000,41381
,800000,800000,800000,800000,40407,0,0,0,3469000,690000,5019000,40407
,800000,800000,800000,800000,40407,0,0,0,3450000,687000,5019000,40407
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,40407,0,0,0,3450000,687000,5019000,40407
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,39920,0,0,0,3450000,687000,5019000,39920
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5010000,41868
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5010000,41381
,800000,800000,800000,800000,40894,0,0,0,3454000,687000,5019000,40894
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5010000,41868
,800000,800000,800000,800000,41381,0,0,0,3458000,689000,5010000,41381
,800000,800000,800000,800000,41381,0,0,0,3458000,689000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3458000,689000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,40407,0,0,0,3450000,687000,5010000,40407
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,688000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3450000,688000,5019000,42355
,800000,800000,800000,800000,40894,0,0,0,3450000,688000,5019000,40894
,800000,800000,800000,800000,42355,0,0,0,3488000,695000,5010000,42355
,800000,800000,800000,800000,41381,0,0,0,3488000,695000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3488000,695000,5010000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,688000,5010000,41381
,800000,800000,800000,800000,41868,0,0,0,3458000,690000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3458000,690000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3458000,690000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3473000,691000,5019000,40894
,800000,800000,800000,800000,41868,0,0,0,3473000,691000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3473000,691000,5019000,40894
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5010000,40894
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5010000,42355
,800000,800000,800000,800000,41381,0,0,0,3450000,688000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3450000,688000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5010000,40894
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3446000,687000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3446000,687000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3446000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,42842,0,0,0,3454000,688000,5019000,42842
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3450000,687000,5019000,40894
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3454000,688000,5010000,42355
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3450000,687000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5010000,41381
,800000,800000,800000,800000,41381,0,0,0,3450000,687000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3450000,687000,5019000,42355
,800000,800000,800000,800000,42355,0,0,0,3465000,690000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3465000,690000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3465000,690000,5010000,41381
,800000,800000,800000,800000,41868,0,0,0,3450000,688000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3450000,688000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3454000,688000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3458000,688000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3458000,688000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3458000,688000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3473000,691000,5019000,42355
,800000,800000,800000,800000,40894,0,0,0,3473000,691000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,687000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,687000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3454000,687000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3458000,688000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3458000,688000,5019000,41381
,800000,800000,800000,800000,41381,0,0,0,3458000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3454000,688000,5010000,42355
,800000,800000,800000,800000,42355,0,0,0,3458000,689000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3458000,689000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3458000,689000,5010000,40894
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,40894,0,0,0,3454000,688000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3458000,689000,5019000,41381
,800000,800000,800000,800000,42355,0,0,0,3458000,689000,5019000,42355
,800000,800000,800000,800000,41381,0,0,0,3458000,689000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3458000,689000,5019000,41868
,800000,800000,800000,800000,41868,0,0,0,3458000,689000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3458000,689000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3454000,688000,5019000,42355
,800000,800000,800000,800000,42355,0,0,0,3454000,688000,5019000,42355
,800000,800000,800000,800000,41868,0,0,0,3454000,688000,5019000,41868
,800000,800000,800000,800000,41381,0,0,0,3454000,688000,5019000,41381
,800000,800000,800000,800000,40894,0,0,0,3458000,689000,5019000,40894
,800000,800000,800000,800000,41381,0,0,0,3458000,689000,5019000,41381
,800000,800000,800000,800000,41868,0,0,0,3458000,689000,5019000,41868
,800000,800000,800000,800000,42355,0,0,0,3458000,688000,5010000,42355
,800000,800000,800000,800000,42355,0,0,0,3458000,688000,5019000,42355
