UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,700000,700000,700000,700000,40894,0,0,0,2893000,576000,5019000,40894
,700000,700000,700000,700000,40894,0,0,0,3282000,653000,5019000,40894
,700000,700000,700000,700000,40894,0,0,0,3282000,653000,5019000,40894
,700000,700000,700000,700000,40894,0,0,0,3175000,632000,5019000,40894
,700000,700000,700000,700000,40894,0,0,0,3175000,632000,5010000,40894
,700000,700000,700000,700000,41868,0,0,0,3175000,632000,5019000,41868
,700000,700000,700000,700000,41868,0,0,0,3171000,632000,5010000,41868
,700000,700000,700000,700000,41381,0,0,0,3171000,632000,5010000,41381
,700000,700000,700000,700000,41868,0,0,0,3171000,632000,5019000,41868
,700000,700000,700000,700000,40894,0,0,0,3168000,632000,5019000,40894
,700000,700000,700000,700000,40407,0,0,0,3168000,632000,5010000,40407
,700000,700000,700000,700000,41868,0,0,0,3171000,632000,5019000,41868
,700000,700000,700000,700000,41381,0,0,0,3171000,632000,5019000,41381
,700000,700000,700000,700000,41381,0,0,0,3171000,632000,5019000,41381
,700000,700000,700000,700000,40894,0,0,0,3171000,631000,5019000,40894
,700000,700000,700000,700000,42355,0,0,0,3171000,631000,5019000,42355
,700000,700000,700000,700000,41868,0,0,0,3171000,631000,5019000,41868
,700000,700000,700000,700000,40894,0,0,0,3171000,631000,5019000,40894
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5019000,41381
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5010000,41381
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5019000,41381
,700000,700000,700000,700000,40894,0,0,0,3171000,631000,5010000,40894
,700000,700000,700000,700000,41381,0,0,0,3171000,633000,5019000,41381
,700000,700000,700000,700000,41381,0,0,0,3171000,633000,5019000,41381
,700000,700000,700000,700000,40894,0,0,0,3171000,633000,5019000,40894
,700000,700000,700000,700000,41381,0,0,0,3175000,632000,5019000,41381
,700000,700000,700000,700000,41868,0,0,0,3175000,632000,5019000,41868
,700000,700000,700000,700000,41868,0,0,0,3175000,632000,5019000,41868
,700000,700000,700000,700000,41868,0,0,0,3171000,631000,5019000,41868
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5019000,41381
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5019000,41381
,700000,700000,700000,700000,41868,0,0,0,3171000,631000,5019000,41868
,700000,700000,700000,700000,42355,0,0,0,3171000,631000,5019000,42355
,700000,700000,700000,700000,42355,0,0,0,3179000,632000,5019000,42355
,700000,700000,700000,700000,41381,0,0,0,3179000,632000,5019000,41381
,700000,700000,700000,700000,41868,0,0,0,3179000,632000,5019000,41868
,700000,700000,700000,700000,41381,0,0,0,3175000,632000,5019000,41381
,700000,700000,700000,700000,41868,0,0,0,3175000,632000,5019000,41868
,700000,700000,700000,700000,40894,0,0,0,3175000,632000,5010000,40894
,700000,700000,700000,700000,41868,0,0,0,3171000,631000,5019000,41868
,700000,700000,700000,700000,41381,0,0,0,3171000,631000,5019000,41381
,700000,700000,700000,700000,40894,0,0,0,3168000,632000,5019000,40894
