[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16528       tick         79984        462795        462795        322762 
      2  16528       tick             0             0             0             0 
      3  16528       tick             0             0             0             0 
      4  16528       tick             0             0             0             0 
      5  16528       tick             0             0             0             0 
      6  16528       tick             0             0             0             0 
      7  16528       tick             0             0             0             0 
      8  16528       tick             0             0             0             0 
      9  16528       tick             0             0             0             0 
     10  16528       tick             0             0             0             0 
     11  16528       tick             0             0             0             0 
     12  16528       tick             0             0             0             0 
     13  16528       tick             0             0             0             0 
     14  16528       tick             0             0             0             0 
     15  16528       tick             0             0             0             0 
     16  16528       tick             0             0             0             0 
     17  16528       tick             0             0             0             0 
     18  16528       tick             0             0             0             0 
     19  16528       tick             0             0             0             0 
     20  16528       exit           412          2095          2095          1364 
