UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,600000,600000,600000,600000,36024,0,0,0,2855000,568000,5010000,36024
,600000,600000,600000,600000,36511,0,0,0,2855000,568000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2855000,569000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2855000,569000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,37485,0,0,0,2847000,566000,5010000,37485
,600000,600000,600000,600000,36998,0,0,0,2847000,566000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2874000,572000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2874000,572000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2874000,572000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,37485,0,0,0,2855000,567000,5019000,37485
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5010000,36511
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2851000,568000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2851000,568000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2855000,568000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2855000,568000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2855000,568000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2874000,572000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2874000,572000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5010000,36511
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2855000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,568000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,568000,5019000,36511
,600000,600000,600000,600000,37485,0,0,0,2851000,568000,5019000,37485
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5010000,35537
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2847000,567000,5019000,35537
,600000,600000,600000,600000,37485,0,0,0,2847000,567000,5019000,37485
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,37485,0,0,0,2851000,567000,5019000,37485
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5010000,36998
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,568000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,568000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5010000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,35537,0,0,0,2855000,568000,5019000,35537
,600000,600000,600000,600000,35537,0,0,0,2855000,568000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2855000,568000,5019000,36024
,600000,600000,600000,600000,37485,0,0,0,2851000,567000,5019000,37485
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2847000,566000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2847000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2866000,570000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2866000,570000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2866000,569000,5010000,36511
,600000,600000,600000,600000,36511,0,0,0,2866000,569000,5010000,36511
,600000,600000,600000,600000,36998,0,0,0,2866000,569000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2847000,568000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2847000,568000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2847000,568000,5010000,36998
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2847000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2855000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5010000,36511
,600000,600000,600000,600000,36024,0,0,0,2858000,568000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2858000,568000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2858000,568000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,568000,5010000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,568000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2851000,568000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2851000,568000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,568000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36998,0,0,0,2855000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2847000,566000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2870000,571000,5010000,36511
,600000,600000,600000,600000,36998,0,0,0,2870000,571000,5010000,36998
,600000,600000,600000,600000,35050,0,0,0,2870000,571000,5019000,35050
,600000,600000,600000,600000,36024,0,0,0,2847000,568000,5019000,36024
,600000,600000,600000,600000,36511,0,0,0,2847000,568000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2847000,568000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2847000,566000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2847000,566000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2851000,567000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,36511,0,0,0,2847000,567000,5019000,36511
,600000,600000,600000,600000,37485,0,0,0,2847000,567000,5019000,37485
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2847000,566000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2847000,566000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2847000,566000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2855000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2862000,569000,5019000,35537
,600000,600000,600000,600000,36511,0,0,0,2862000,569000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5019000,36024
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36024,0,0,0,2851000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2851000,567000,5019000,36998
,600000,600000,600000,600000,36511,0,0,0,2851000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2847000,566000,5019000,35537
,600000,600000,600000,600000,36998,0,0,0,2847000,566000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2855000,567000,5010000,36024
,600000,600000,600000,600000,36511,0,0,0,2855000,567000,5019000,36511
,600000,600000,600000,600000,35537,0,0,0,2855000,567000,5019000,35537
,600000,600000,600000,600000,36998,0,0,0,2847000,567000,5019000,36998
,600000,600000,600000,600000,36024,0,0,0,2847000,567000,5019000,36024
,600000,600000,600000,600000,36998,0,0,0,2847000,567000,5019000,36998
