UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,598000,5019000,42355
,1100000,1100000,1100000,1100000,42842,0,0,0,3000000,598000,5019000,42842
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,598000,5019000,42355
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,597000,5019000,42355
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,597000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3011000,600000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3011000,600000,5019000,42842
,1100000,1100000,1100000,1100000,42842,0,0,0,3011000,600000,5019000,42842
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,42355,0,0,0,3003000,598000,5019000,42355
,1100000,1100000,1100000,1100000,42842,0,0,0,3003000,598000,5019000,42842
,1100000,1100000,1100000,1100000,42355,0,0,0,3003000,598000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3003000,598000,5019000,42842
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3000000,597000,5019000,42842
,1100000,1100000,1100000,1100000,42355,0,0,0,3003000,598000,5010000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3003000,598000,5019000,42842
,1100000,1100000,1100000,1100000,41381,0,0,0,3007000,599000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3007000,599000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3007000,599000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3011000,599000,5019000,42842
,1100000,1100000,1100000,1100000,41381,0,0,0,3011000,599000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,599000,5019000,41868
,1100000,1100000,1100000,1100000,43329,0,0,0,3003000,598000,5019000,43329
,1100000,1100000,1100000,1100000,42355,0,0,0,3003000,598000,5010000,42355
,1100000,1100000,1100000,1100000,42355,0,0,0,3026000,603000,5019000,42355
,1100000,1100000,1100000,1100000,41381,0,0,0,3026000,603000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3026000,603000,5019000,41868
,1100000,1100000,1100000,1100000,42842,0,0,0,3003000,598000,5010000,42842
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,42355,0,0,0,2996000,597000,5019000,42355
,1100000,1100000,1100000,1100000,42842,0,0,0,2996000,597000,5019000,42842
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,597000,5019000,42355
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,597000,5010000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5010000,41868
