[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16659       tick             0        462579        462579        232002 
      2  16659       tick             0             0             0             0 
      3  16659       tick             0             0             0             0 
      4  16659       tick             0             0             0             0 
      5  16659       tick             0             0             0             0 
      6  16659       tick             0             0             0             0 
      7  16659       tick             0             0             0             0 
      8  16659       tick             0             0             0             0 
      9  16659       tick             0             0             0             0 
     10  16659       tick             0             0             0             0 
     11  16659       tick             0             0             0             0 
     12  16659       tick             0             0             0             0 
     13  16659       tick             0             0             0             0 
     14  16659       tick             0             0             0             0 
     15  16659       tick             0             0             0             0 
     16  16659       tick             0             0             0             0 
     17  16659       tick             0             0             0             0 
     18  16659       tick             0             0             0             0 
     19  16659       tick             0             0             0             0 
     20  16659       exit             0          2090          2090          3446 
