UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,1100000,1100000,1100000,1100000,41381,0,0,0,3007000,599000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3007000,599000,5019000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,3007000,599000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5019000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5010000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5010000,40894
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,598000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,40407,0,0,0,3000000,598000,5019000,40407
,1100000,1100000,1100000,1100000,40407,0,0,0,2996000,597000,5010000,40407
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5010000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5010000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,598000,5019000,42355
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,598000,5019000,42355
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,42355,0,0,0,3007000,598000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3007000,598000,5019000,41868
,1100000,1100000,1100000,1100000,40407,0,0,0,3015000,600000,5019000,40407
,1100000,1100000,1100000,1100000,40894,0,0,0,3015000,600000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3015000,600000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3003000,598000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3007000,598000,5019000,41381
,1100000,1100000,1100000,1100000,42355,0,0,0,3007000,598000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3007000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5010000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,2996000,597000,5010000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3003000,598000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,42355,0,0,0,3000000,597000,5019000,42355
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3011000,600000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3011000,600000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3011000,600000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,2996000,597000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,2996000,597000,5019000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5010000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,2996000,597000,5019000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,2996000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3003000,598000,5019000,40894
,1100000,1100000,1100000,1100000,40894,0,0,0,3003000,598000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5010000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,598000,5019000,40894
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5010000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5010000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,40894,0,0,0,3007000,600000,5019000,40894
,1100000,1100000,1100000,1100000,41381,0,0,0,3007000,600000,5010000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41381,0,0,0,3000000,597000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3000000,597000,5010000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41868,0,0,0,3003000,598000,5019000,41868
,1100000,1100000,1100000,1100000,41381,0,0,0,3003000,598000,5019000,41381
,1100000,1100000,1100000,1100000,40894,0,0,0,3003000,598000,5019000,40894
,1100000,1100000,1100000,1100000,40894,0,0,0,3000000,597000,5010000,40894
